[2025-03-06 15:15:54,998] INFO - Aplicación de Simulación de Sensores IoT con Zombis iniciada
[2025-03-06 15:16:00,608] INFO - Iniciando aplicación de Simulación de Sensores IoT con Zombis
[2025-03-06 15:16:00,608] INFO - Simulación inicializada
[2025-03-06 15:16:58,397] INFO - Configurando edificio: 3 pisos, 3 habitaciones por piso
[2025-03-06 15:16:58,397] INFO - Edificio configurado con 3 pisos y 3 habitaciones regulares por piso
[2025-03-06 15:16:58,397] INFO - Añadiendo 3 zombis iniciales
[2025-03-06 15:16:58,397] INFO - Añadiendo 3 zombis iniciales
[2025-03-06 15:17:02,598] INFO - Visualización inicializada
[2025-03-06 15:17:02,672] INFO - Visualización iniciada en un hilo separado
[2025-03-06 15:26:25,887] INFO - Aplicación interrumpida por el usuario (KeyboardInterrupt)
[2025-03-06 15:26:25,889] INFO - Aplicación finalizada
